G18085.GTEX-O5YV-1826-SM-2YUNI.1,1,0,0,32,1,0,0,2,0,0,860,2,0,0,-0.0,0,0,1.9447384473,-0.0,0,0
G18086.GTEX-O5YV-1626-SM-2YUNJ.1,2,0,1,33,2,1,1,14,0,2,489,4,2,7,0.519579839131,0,-0.0,2.6339590404,0.69314718056,-0.0,-0.0
G18087.GTEX-NFK9-0426-SM-2YUNK.1,0,1,0,33,1,1,0,0,5,0,225,2,2,0,0,-0.0,0,3.22077166752,-0.0,-0.0,0
G18088.GTEX-NFK9-0526-SM-2YUNL.1,1,0,1,39,0,0,1,3,0,2,327,0,0,2,-0.0,0,-0.0,3.259292512,0,0,-0.0
G18090.GTEX-OIZH-1826-SM-2YUNP.1,0,0,0,33,0,0,1,0,0,0,276,0,0,2,0,0,0,3.09261998774,0,0,-0.0
G18363.GTEX-PWO3-0011-R2A-SM-2S1OX.1,0,0,0,37,0,0,0,0,0,0,415,0,0,0,0,0,0,3.06472568538,0,0,0
G18364.GTEX-QEG4-0626-SM-2S1OY.1,0,0,0,37,0,1,0,0,0,0,457,0,6,0,0,0,0,3.14754752972,0,-0.0,0
G18366.GTEX-PWOO-2226-SM-2S1P1.1,2,1,0,39,1,3,0,5,2,0,420,4,8,0,0.673011667009,-0.0,0,3.23708401773,-0.0,1.08219553004,0
G18367.GTEX-QCQG-1826-SM-2S1P2.1,0,0,0,39,2,3,0,0,0,0,539,4,9,0,0,0,0,3.14541506417,0.69314718056,0.99502699018,0
G18371.GTEX-QEG4-1226-SM-2S1P6.1,2,0,2,32,1,3,0,4,0,4,235,2,7,0,0.69314718056,0,0.69314718056,3.26224620035,-0.0,0.955699891113,0
G18372.GTEX-QEG4-1126-SM-2S1P7.1,3,0,0,35,1,3,0,10,0,0,359,2,10,0,1.02965301406,0,0,3.29087625382,-0.0,0.950270539233,0
G18376.GTEX-QEG5-0326-SM-2S1PB.1,0,0,0,37,1,2,0,0,0,0,254,2,4,0,0,0,0,3.26150025201,-0.0,0.69314718056,0
G18379.GTEX-PWN1-1826-SM-2S1PE.1,1,0,1,33,0,1,0,4,0,5,378,0,3,0,-0.0,0,-0.0,3.23972236864,0,-0.0,0
G18387.GTEX-QDVN-2226-SM-2S1PM.1,4,0,0,46,0,2,0,9,0,0,553,0,21,0,1.36892236074,0,0,3.42319851202,0,0.692012964832,0
G18388.GTEX-Q2AH-1926-SM-2S1PN.1,0,1,1,39,0,1,0,0,306,7,1091,0,2,0,0,-0.0,-0.0,2.31860252029,0,-0.0,0
G18391.GTEX-PWOO-2326-SM-2S1PQ.1,1,0,0,33,0,0,0,2,0,0,233,0,0,0,-0.0,0,0,3.26829085258,0,0,0
G18395.GTEX-Q2AG-0426-SM-2S1PU.1,0,0,0,30,0,1,0,0,0,0,151,0,3,0,0,0,0,3.16082546591,0,-0.0,0
G18398.GTEX-Q2AH-2026-SM-2S1PX.1,0,0,0,30,0,2,0,0,0,0,202,0,4,0,0,0,0,3.08334681056,0,0.69314718056,0
G18400.GTEX-Q2AI-1726-SM-2S1PZ.1,0,1,1,24,0,0,0,0,2,2,121,0,0,0,0,-0.0,-0.0,2.96710186241,0,0,0
G18402.GTEX-Q2AH-1826-SM-2S1Q2.1,2,1,0,35,0,1,0,7,2,0,482,0,13,0,0.598269588585,-0.0,0,3.19727513932,0,-0.0,0
G18403.GTEX-PWOO-0526-SM-2S1Q3.1,1,2,0,36,0,2,0,3,4,0,374,0,4,0,-0.0,0.69314718056,0,3.26342889086,0,0.69314718056,0
G18407.GTEX-QLQW-1126-SM-2S1Q8.1,3,1,0,41,0,2,0,16,4,0,515,0,5,0,0.735621939759,-0.0,0,3.24758377963,0,0.673011667009,0
G18408.GTEX-QLQW-1226-SM-2S1Q9.1,1,1,0,27,0,0,0,2,2,0,287,0,0,0,-0.0,-0.0,0,2.49346000904,0,0,0
G18409.GTEX-QLQ7-1526-SM-2S1QA.1,2,0,0,30,1,0,0,15,0,0,282,2,0,0,0.392674467228,0,0,2.86711833784,-0.0,0,0
G18411.GTEX-QV31-1626-SM-2S1QC.1,1,0,0,35,0,2,0,2,0,0,264,0,4,0,-0.0,0,0,3.1053955131,0,0.69314718056,0
G18412.GTEX-QV31-1426-SM-2S1QD.1,1,0,1,26,1,0,0,2,0,3,188,17,0,0,-0.0,0,-0.0,3.0578921671,-0.0,0,0
