sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-NL4W-0011-R4a-SM-2I5GZ,G16825.GTEX-NL4W-0011-R4a.3,GTEX-NL4W,Brain - Amygdala,141653333.0,0.03529743984209676,0.7059487968419352,0.458300877412
GTEX-O5YV-0326-SM-2I5H2,G16827.GTEX-O5YV-0326.3,GTEX-O5YV,Heart - Left Ventricle,164706666.0,0.018214199053728643,0.8742815545789749,0.720826394561
GTEX-OHPN-2726-SM-2I5H4,G16829.GTEX-OHPN-2726.3,GTEX-OHPN,Muscle - Skeletal,191146666.0,0.04185267871739913,0.44468471137236576,0.88148643216
GTEX-OOBK-0005-SM-2YUMG,G18048.GTEX-OOBK-0005-SM-2YUMG.1,GTEX-OOBK,Whole Blood,76986666.0,0.1818496725134194,3.98770353297284,0.596194562561
GTEX-OIZH-0226-SM-2YUMH,G18049.GTEX-OIZH-0226-SM-2YUMH.1,GTEX-OIZH,Adipose - Subcutaneous,78666666.0,0.44491525800775644,1.4110169611103132,3.37927620699
GTEX-OHPM-0526-SM-2YUMJ,G18051.GTEX-OHPM-0526-SM-2YUMJ.1,GTEX-OHPM,Lung,84706666.0,1.2395718655719492,6.103415757149502,4.09025887886
GTEX-N7MS-0011-R8a-SM-2YUMK,G18052.GTEX-N7MS-0011-R8a-SM-2YUMK.1,GTEX-N7MS,Brain - Hypothalamus,82866666.0,0.02413515707268831,0.04827031414537662,0.69314718056
GTEX-OOBJ-0226-SM-2YUMM,G18054.GTEX-OOBJ-0226-SM-2YUMM.1,GTEX-OOBJ,Adipose - Subcutaneous,79480000.0,0.1509813789632612,3.1454453950679415,0.843396665096
GTEX-NPJ8-0011-R10A-SM-2YUMO,G18056.GTEX-NPJ8-0011-R10A-SM-2YUMO.1,GTEX-NPJ8,Brain - Frontal Cortex (BA9),98173333.0,0.020372130994065363,0.8250713052596472,0.115774158302
GTEX-OXRL-0126-SM-2YUMP,G18057.GTEX-OXRL-0126-SM-2YUMP.1,GTEX-OXRL,Skin - Sun Exposed (Lower leg),80120000.0,0.012481278082875686,0.04992511233150274,0.0
GTEX-OXRL-1826-SM-2YUMV,G18059.GTEX-OXRL-1826-SM-2YUMV.1,GTEX-OXRL,Artery - Tibial,97533333.0,0.020505810049575565,0.12303486029745339,0.450561208866
GTEX-OXRL-1626-SM-2YUMU,G18062.GTEX-OXRL-1626-SM-2YUMU.1,GTEX-OXRL,Muscle - Skeletal,78973333.0,0.012662502163863339,0.1646125281302234,0.0
GTEX-OHPK-1826-SM-2YUMR,G18063.GTEX-OHPK-1826-SM-2YUMR.1,GTEX-OHPK,Artery - Tibial,116466666.0,0.2747567273884186,1.176302239131667,3.25057304452
GTEX-O5YW-0526-SM-2YUMX,G18064.GTEX-O5YW-0526-SM-2YUMX.1,GTEX-O5YW,Lung,110866666.0,1.7678893672152096,12.772098693758862,4.45265885836
GTEX-OHPK-1626-SM-2YUN3,G18069.GTEX-OHPK-1626-SM-2YUN3.1,GTEX-OHPK,Muscle - Skeletal,95546666.0,0.0313982698255531,0.0627965396511062,1.09861228867
GTEX-N7MS-0426-SM-2YUN6,G18073.GTEX-N7MS-0426-SM-2YUN6.1,GTEX-N7MS,Muscle - Skeletal,100533333.0,0.019893899270205236,0.13925729489143665,0.410116318288
GTEX-N7MS-0626-SM-2YUN7,G18074.GTEX-N7MS-0626-SM-2YUN7.1,GTEX-N7MS,Artery - Tibial,92346666.0,0.010828761267894609,0.021657522535789217,0.0
GTEX-OHPM-0126-SM-2YUN9,G18076.GTEX-OHPM-0126-SM-2YUN9.1,GTEX-OHPM,Skin - Sun Exposed (Lower leg),81360000.0,0.0,0.0,0.0
GTEX-NPJ8-1826-SM-2YUNC,G18079.GTEX-NPJ8-1826-SM-2YUNC.1,GTEX-NPJ8,Artery - Tibial,93066666.0,0.021489971500644495,0.08595988600257798,0.661563238158
GTEX-OOBK-0126-SM-2YUND,G18080.GTEX-OOBK-0126-SM-2YUND.1,GTEX-OOBK,Skin - Sun Exposed (Lower leg),89560000.0,0.08932559178204555,0.2791424743188924,1.83329766636
GTEX-OHPM-1826-SM-2YUNF,G18082.GTEX-OHPM-1826-SM-2YUNF.1,GTEX-OHPM,Artery - Tibial,89120000.0,0.011220825852782765,0.02244165170556553,0.0
GTEX-O5YV-1826-SM-2YUNI,G18085.GTEX-O5YV-1826-SM-2YUNI.1,GTEX-O5YV,Nerve - Tibial,100266666.0,0.06981383025142174,0.24933510804079195,1.75234682212
GTEX-O5YV-1626-SM-2YUNJ,G18086.GTEX-O5YV-1626-SM-2YUNJ.1,GTEX-O5YV,Artery - Tibial,95240000.0,0.3989920201595968,34.14531709365813,2.06613297362
GTEX-NFK9-0426-SM-2YUNK,G18087.GTEX-NFK9-0426-SM-2YUNK.1,GTEX-NFK9,Nerve - Tibial,91586666.0,0.021837239931847722,0.0545930998296193,0.673011667009
GTEX-NFK9-0526-SM-2YUNL,G18088.GTEX-NFK9-0526-SM-2YUNL.1,GTEX-NFK9,Artery - Tibial,84293333.0,0.1779500165214727,0.8422967448683041,2.30527097007
GTEX-OIZH-1826-SM-2YUNP,G18090.GTEX-OIZH-1826-SM-2YUNP.1,GTEX-OIZH,Artery - Tibial,83960000.0,0.023820867079561697,0.07146260123868509,0.636514168295
GTEX-PWO3-0011-R2A-SM-2S1OX,G18363.GTEX-PWO3-0011-R2A-SM-2S1OX.1,GTEX-PWO3,Brain - Substantia nigra,78760000.0,0.0,0.0,0.0
GTEX-QEG4-0626-SM-2S1OY,G18364.GTEX-QEG4-0626-SM-2S1OY.1,GTEX-QEG4,Muscle - Skeletal,75946666.0,0.013167134947042969,0.026334269894085938,0.0
GTEX-PWOO-2226-SM-2S1P1,G18366.GTEX-PWOO-2226-SM-2S1P1.1,GTEX-PWOO,Adipose - Subcutaneous,82413333.0,0.09707167164322793,0.30334897388508725,1.93614700983
GTEX-QCQG-1826-SM-2S1P2,G18367.GTEX-QCQG-1826-SM-2S1P2.1,GTEX-QCQG,Adipose - Subcutaneous,87493333.0,0.20572996116172645,0.8114904023601432,2.70059759863
GTEX-QEG4-1226-SM-2S1P6,G18371.GTEX-QEG4-1226-SM-2S1P6.1,GTEX-QEG4,Artery - Tibial,64053333.0,0.0780599504478557,0.26540383152270935,1.39549867772
GTEX-QEG4-1126-SM-2S1P7,G18372.GTEX-QEG4-1126-SM-2S1P7.1,GTEX-QEG4,Nerve - Tibial,85826666.0,0.13981668587709092,0.5126611815493334,2.37426595022
GTEX-QEG5-0326-SM-2S1PB,G18376.GTEX-QEG5-0326-SM-2S1PB.1,GTEX-QEG5,Adipose - Subcutaneous,67693333.0,0.13295253167693782,0.47272011262911223,1.97700617291
GTEX-PWN1-1826-SM-2S1PE,G18379.GTEX-PWN1-1826-SM-2S1PE.1,GTEX-PWN1,Artery - Tibial,78746666.0,0.06349475163812014,1.2064002811242829,0.405674957207
GTEX-QDVN-2226-SM-2S1PM,G18387.GTEX-QDVN-2226-SM-2S1PM.1,GTEX-QDVN,Nerve - Tibial,99346666.0,0.14092068273332897,0.754932228928548,2.12278806892
GTEX-Q2AH-1926-SM-2S1PN,G18388.GTEX-Q2AH-1926-SM-2S1PN.1,GTEX-Q2AH,Nerve - Tibial,71866666.0,0.05565862760351232,0.5148423053324889,0.756065286624
GTEX-PWOO-2326-SM-2S1PQ,G18391.GTEX-PWOO-2326-SM-2S1PQ.1,GTEX-PWOO,Muscle - Skeletal,61533333.0,0.048754063102676395,0.09750812620535279,1.09861228867
GTEX-Q2AG-0426-SM-2S1PU,G18395.GTEX-Q2AG-0426-SM-2S1PU.1,GTEX-Q2AG,Muscle - Skeletal,48640000.0,0.0,0.0,0.0
GTEX-Q2AH-2026-SM-2S1PX,G18398.GTEX-Q2AH-2026-SM-2S1PX.1,GTEX-Q2AH,Artery - Tibial,52600000.0,0.03802281368821293,0.17110266159695817,0.636514168295
GTEX-Q2AI-1726-SM-2S1PZ,G18400.GTEX-Q2AI-1726-SM-2S1PZ.1,GTEX-Q2AI,Artery - Tibial,49440000.0,0.020226537216828478,0.040453074433656956,0.0
GTEX-Q2AH-1826-SM-2S1Q2,G18402.GTEX-Q2AH-1826-SM-2S1Q2.1,GTEX-Q2AH,Muscle - Skeletal,88293333.0,0.06795530076999132,0.6455753573149176,0.798164977502
GTEX-PWOO-0526-SM-2S1Q3,G18403.GTEX-PWOO-0526-SM-2S1Q3.1,GTEX-PWOO,Heart - Left Ventricle,93880000.0,0.021303792074989347,0.06391137622496805,0.69314718056
GTEX-QLQW-1126-SM-2S1Q8,G18407.GTEX-QLQW-1126-SM-2S1Q8.1,GTEX-QLQW,Skin - Sun Exposed (Lower leg),89933333.0,0.05559673853075144,0.23350630182915605,1.26958911645
GTEX-QLQW-1226-SM-2S1Q9,G18408.GTEX-QLQW-1226-SM-2S1Q9.1,GTEX-QLQW,Adipose - Subcutaneous,47000000.0,0.14893617021276595,0.7021276595744681,1.68607616136
GTEX-QLQ7-1526-SM-2S1QA,G18409.GTEX-QLQ7-1526-SM-2S1QA.1,GTEX-QLQ7,Adipose - Subcutaneous,61600000.0,0.048701298701298704,0.275974025974026,0.708688028219
GTEX-QV31-1626-SM-2S1QC,G18411.GTEX-QV31-1626-SM-2S1QC.1,GTEX-QV31,Artery - Tibial,49493333.0,0.10102370757693768,0.24245689818465044,1.56071040904
GTEX-QV31-1426-SM-2S1QD,G18412.GTEX-QV31-1426-SM-2S1QD.1,GTEX-QV31,Muscle - Skeletal,64480000.0,0.031017369727047148,0.32568238213399503,0.314492201281
GTEX-QV31-1326-SM-2S1QE,G18413.GTEX-QV31-1326-SM-2S1QE.1,GTEX-QV31,Adipose - Subcutaneous,96066666.0,0.12491325555109824,0.6870229055310403,2.07843614804
GTEX-QMRM-1726-SM-2S1QG,G18415.GTEX-QMRM-1726-SM-2S1QG.1,GTEX-QMRM,Adipose - Subcutaneous,45600000.0,0.021929824561403508,0.043859649122807015,0.0
GTEX-QVJO-0011-R9A-SM-2S1QH,G18416.GTEX-QVJO-0011-R9A-SM-2S1QH.1,GTEX-QVJO,Brain - Spinal cord (cervical c-1),84720000.0,0.03541076487252125,0.18885741265344666,0.735621939759
GTEX-QVJO-0011-R10A-SM-2S1QJ,G18418.GTEX-QVJO-0011-R10A-SM-2S1QJ.1,GTEX-QVJO,Brain - Frontal Cortex (BA9),72106666.0,0.027736686646973804,0.138683433234869,0.500402423538
GTEX-QVJO-0011-R2A-SM-2S1QK,G18419.GTEX-QVJO-0011-R2A-SM-2S1QK.1,GTEX-QVJO,Brain - Substantia nigra,69226666.0,0.0,0.0,0.0
GTEX-QVJO-0011-R4A-SM-2S1QL,G18420.GTEX-QVJO-0011-R4A-SM-2S1QL.1,GTEX-QVJO,Brain - Amygdala,98920000.0,0.020218358269308533,0.22240194096239385,0.398307113805
GTEX-QVJO-0011-R5A-SM-2S1QM,G18421.GTEX-QVJO-0011-R5A-SM-2S1QM.1,GTEX-QVJO,Brain - Caudate (basal ganglia),83573333.0,0.04786215717877376,1.1008296151117964,1.10467722836
GTEX-QVJO-0011-R6A-SM-2S1QN,G18422.GTEX-QVJO-0011-R6A-SM-2S1QN.1,GTEX-QVJO,Brain - Nucleus accumbens (basal ganglia),87733333.0,0.011398176335099455,0.35334346638808306,0.0
GTEX-QLQ7-1726-SM-2S1QQ,G18425.GTEX-QLQ7-1726-SM-2S1QQ.1,GTEX-QLQ7,Muscle - Skeletal,74186666.0,0.0,0.0,0.0
GTEX-QESD-1526-SM-2S1QT,G18428.GTEX-QESD-1526-SM-2S1QT.1,GTEX-QESD,Adipose - Subcutaneous,73173333.0,0.040998542460816974,0.12299562738245093,1.06085694716
GTEX-QVJO-1325-SM-2S1QX,G18432.GTEX-QVJO-1325-SM-2S1QX.1,GTEX-QVJO,Brain - Cerebellum,72120000.0,0.027731558513588463,0.16638935108153077,0.450561208866
GTEX-QVJO-1426-SM-2S1QY,G18433.GTEX-QVJO-1426-SM-2S1QY.1,GTEX-QVJO,Brain - Cortex,64906666.0,0.04622021411483375,0.2773212846890025,0.900908873225
GTEX-QLQ7-1826-SM-2S1R5,G18439.GTEX-QLQ7-1826-SM-2S1R5.1,GTEX-QLQ7,Nerve - Tibial,77893333.0,0.10270455367470281,0.35946593786145986,1.98231708551
GTEX-QLQ7-1926-SM-2S1R6,G18440.GTEX-QLQ7-1926-SM-2S1R6.1,GTEX-QLQ7,Artery - Tibial,67986666.0,0.044126299707063145,0.10296136598314734,1.07899220788
GTEX-QLQ7-1626-SM-2S1R8,G18442.GTEX-QLQ7-1626-SM-2S1R8.1,GTEX-QLQ7,Skin - Sun Exposed (Lower leg),90426666.0,0.0,0.0,0.0
GTEX-QESD-1426-SM-2S1R9,G18443.GTEX-QESD-1426-SM-2S1R9.1,GTEX-QESD,Skin - Sun Exposed (Lower leg),60933333.0,0.016411378645576468,0.04923413593672941,0.0
GTEX-QLQW-0005-SM-2S1RA,G18444.GTEX-QLQW-0005-SM-2S1RA.1,GTEX-QLQW,Whole Blood,82933333.0,0.4581993587548206,1.290192931230679,3.5461121623
GTEX-QESD-1626-SM-2S1RB,G18445.GTEX-QESD-1626-SM-2S1RB.1,GTEX-QESD,Muscle - Skeletal,63626666.0,0.015716680801725492,0.031433361603450984,0.0
GTEX-QV44-2026-SM-2S1RD,G18447.GTEX-QV44-2026-SM-2S1RD.1,GTEX-QV44,Muscle - Skeletal,94746666.0,0.04221784437248694,0.2955249106074086,0.832083196588
GTEX-QV44-0526-SM-2S1RE,G18448.GTEX-QV44-0526-SM-2S1RE.1,GTEX-QV44,Heart - Left Ventricle,83413333.0,0.07193094657900793,0.1558503842545172,1.7782333058
GTEX-QV44-1926-SM-2S1RF,G18449.GTEX-QV44-1926-SM-2S1RF.1,GTEX-QV44,Skin - Sun Exposed (Lower leg),67973333.0,0.0,0.0,0.0
GTEX-QV44-0826-SM-2S1RG,G18450.GTEX-QV44-0826-SM-2S1RG.1,GTEX-QV44,Thyroid,78213333.0,0.03835663159886052,0.20456870186058942,0.974314752869
GTEX-QV44-0926-SM-2S1RH,G18451.GTEX-QV44-0926-SM-2S1RH.1,GTEX-QV44,Lung,45800000.0,4.585152838427947,16.943231441048034,5.0573546261
GTEX-P4QS-1626-SM-2S1NH,G18455.GTEX-P4QS-1626-SM-2S1NH.1,GTEX-P4QS,Muscle - Skeletal,75306666.0,0.013279036944750681,0.026558073889501363,0.0
GTEX-PW2O-1926-SM-2S1OB,G18484.GTEX-PW2O-1926-SM-2S1OB.1,GTEX-PW2O,Artery - Tibial,93386666.0,0.02141633367658719,0.053540834191467976,0.673011667009
GTEX-POMQ-2026-SM-2S1OD,G18486.GTEX-POMQ-2026-SM-2S1OD.1,GTEX-POMQ,Nerve - Tibial,94066666.0,0.1594613760415406,0.7760453634021641,2.20601725301
GTEX-PSDG-0526-SM-2S1OH,G18490.GTEX-PSDG-0526-SM-2S1OH.1,GTEX-PSDG,Artery - Tibial,79946666.0,0.012508338996900759,0.025016677993801518,0.0
GTEX-PLZ4-0926-SM-2S1OI,G18491.GTEX-PLZ4-0926-SM-2S1OI.1,GTEX-PLZ4,Muscle - Skeletal,90413333.0,0.02212063125689659,0.33180946885344886,0.450561208866
GTEX-REY6-0626-SM-2TF4G,G18584.GTEX-REY6-0626-SM-2TF4G.1,GTEX-REY6,Nerve - Tibial,76546666.0,0.14370318884953134,0.8230273543200431,2.13516993374
GTEX-RM2N-1426-SM-2TF4H,G18585.GTEX-RM2N-1426-SM-2TF4H.1,GTEX-RM2N,Skin - Sun Exposed (Lower leg),104133333.0,0.057618438084566063,0.2208706793241699,1.74997833591
GTEX-RNOR-2326-SM-2TF4I,G18586.GTEX-RNOR-2326-SM-2TF4I.1,GTEX-RNOR,Brain - Cortex,83840000.0,0.011927480916030535,0.02385496183206107,0.0
GTEX-R55C-1926-SM-2TF4K,G18588.GTEX-R55C-1926-SM-2TF4K.1,GTEX-R55C,Nerve - Tibial,83573333.0,0.08375877506285408,0.299138482367336,1.78795275349
GTEX-R55F-0011-R6A-SM-2TF4L,G18589.GTEX-R55F-0011-R6A-SM-2TF4L.1,GTEX-R55F,Brain - Nucleus accumbens (basal ganglia),86293333.0,0.011588380761698009,0.10429542685528209,0.0
GTEX-REY6-0726-SM-2TF4M,G18590.GTEX-REY6-0726-SM-2TF4M.1,GTEX-REY6,Artery - Tibial,80360000.0,0.012444001991040319,0.024888003982080638,0.0
GTEX-RM2N-0526-SM-2TF4N,G18591.GTEX-RM2N-0526-SM-2TF4N.1,GTEX-RM2N,Thyroid,97013333.0,0.43293018290588986,1.8038757621078745,3.15253700863
GTEX-RNOR-0526-SM-2TF4O,G18592.GTEX-RNOR-0526-SM-2TF4O.1,GTEX-RNOR,Muscle - Skeletal,90533333.0,0.0,0.0,0.0
GTEX-R55F-1726-SM-2TF4R,G18595.GTEX-R55F-1726-SM-2TF4R.1,GTEX-R55F,Breast - Mammary Tissue,98253333.0,1.2925770161913999,7.785995412491503,4.48429387321
GTEX-REY6-0826-SM-2TF4S,G18596.GTEX-REY6-0826-SM-2TF4S.1,GTEX-REY6,Muscle - Skeletal,102493333.0,0.0,0.0,0.0
GTEX-RM2N-0426-SM-2TF4T,G18597.GTEX-RM2N-0426-SM-2TF4T.1,GTEX-RM2N,Lung,103800000.0,2.8901734104046244,30.154142581888248,4.5508258028
GTEX-RNOR-0426-SM-2TF4U,G18598.GTEX-RNOR-0426-SM-2TF4U.1,GTEX-RNOR,Artery - Tibial,101586666.0,0.019687623176844884,0.10828192747264685,0.585952618304
GTEX-RNOR-0011-R7A-SM-2TF4V,G18599.GTEX-RNOR-0011-R7A-SM-2TF4V.1,GTEX-RNOR,Brain - Putamen (basal ganglia),107680000.0,0.018573551263001486,0.03714710252600297,0.69314718056
GTEX-R55F-1526-SM-2TF4X,G18601.GTEX-R55F-1526-SM-2TF4X.1,GTEX-R55F,Muscle - Skeletal,83320000.0,0.01200192030724916,0.03600576092174748,0.0
GTEX-REY6-1026-SM-2TF4Y,G18602.GTEX-REY6-1026-SM-2TF4Y.1,GTEX-REY6,Heart - Left Ventricle,97360000.0,0.020542317173377157,0.35949055053410023,0.355382896246
GTEX-RNOR-0005-SM-2TF4Z,G18603.GTEX-RNOR-0005-SM-2TF4Z.1,GTEX-RNOR,Whole Blood,87306666.0,4.570097774664766,20.342089342868732,5.71443305104
GTEX-R55F-1426-SM-2TF53,G18606.GTEX-R55F-1426-SM-2TF53.1,GTEX-R55F,Adipose - Subcutaneous,93013333.0,0.1505160555852783,0.6665711033062325,2.48818692354
GTEX-REY6-0005-SM-2TF54,G18607.GTEX-REY6-0005-SM-2TF54.1,GTEX-REY6,Whole Blood,114186666.0,0.38533395834501377,1.6902148627406286,3.58601730422
GTEX-RNOR-0926-SM-2TF56,G18609.GTEX-RNOR-0926-SM-2TF56.1,GTEX-RNOR,Thyroid,90680000.0,0.22055580061755625,0.8711954124393472,2.84593736151
GTEX-RNOR-0126-SM-2TF57,G18610.GTEX-RNOR-0126-SM-2TF57.1,GTEX-RNOR,Skin - Sun Exposed (Lower leg),104306666.0,0.047935574894129966,0.1725680696188679,1.44593871414
GTEX-RTLS-0006-SM-2TF58,G18611.GTEX-RTLS-0006-SM-2TF58.1,GTEX-RTLS,Whole Blood,101493333.0,0.8867577538319684,5.5373095294840695,3.9997925425
GTEX-RM2N-1826-SM-2TF5B,G18614.GTEX-RM2N-1826-SM-2TF5B.1,GTEX-RM2N,Artery - Tibial,97946666.0,0.0,0.0,0.0
GTEX-RTLS-0226-SM-2TF5E,G18617.GTEX-RTLS-0226-SM-2TF5E.1,GTEX-RTLS,Adipose - Subcutaneous,99213333.0,0.07055503316273025,3.4874344963292385,0.267432681689
GTEX-RTLS-0426-SM-2TF5K,G18623.GTEX-RTLS-0426-SM-2TF5K.1,GTEX-RTLS,Artery - Tibial,112826666.0,0.008863152971302015,0.6735996258189532,0.0
GTEX-REY6-0526-SM-2TF5M,G18625.GTEX-REY6-0526-SM-2TF5M.1,GTEX-REY6,Thyroid,87653333.0,0.11408579294982428,0.49056890968424444,2.06873267553
GTEX-RNOR-2226-SM-2TF5O,G18627.GTEX-RNOR-2226-SM-2TF5O.1,GTEX-RNOR,Brain - Cerebellum,92173333.0,0.010849124876497631,0.021698249752995263,0.0
GTEX-RTLS-0826-SM-2TF5Q,G18629.GTEX-RTLS-0826-SM-2TF5Q.1,GTEX-RTLS,Heart - Left Ventricle,107373333.0,0.009313299420443621,0.18626598840887243,0.0
GTEX-RU72-0326-SM-2TF5T,G18632.GTEX-RU72-0326-SM-2TF5T.1,GTEX-RU72,Heart - Left Ventricle,94880000.0,0.1475548060708263,1.0012647554806071,1.35855776314
GTEX-RTLS-0526-SM-2TF64,G18642.GTEX-RTLS-0526-SM-2TF64.1,GTEX-RTLS,Muscle - Skeletal,93400000.0,0.042826552462526764,0.11777301927194861,1.34211317891
GTEX-RU72-0011-R9A-SM-2TF67,G18645.GTEX-RU72-0011-R9A-SM-2TF67.1,GTEX-RU72,Brain - Spinal cord (cervical c-1),87533333.0,0.03427265816554706,0.14851485205070394,0.830517825287
GTEX-RUSQ-1826-SM-2TF6E,G18652.GTEX-RUSQ-1826-SM-2TF6E.1,GTEX-RUSQ,Nerve - Tibial,93373333.0,0.2677423970717635,1.8099386042051213,2.62220716714
GTEX-RU72-1226-SM-2TF6N,G18661.GTEX-RU72-1226-SM-2TF6N.1,GTEX-RU72,Artery - Tibial,97226666.0,0.041140976694603516,0.0925671975628579,1.36892236074
GTEX-RU72-0011-R2A-SM-2TF6O,G18662.GTEX-RU72-0011-R2A-SM-2TF6O.1,GTEX-RU72,Brain - Substantia nigra,63106666.0,0.047538559555657715,1.1409254293357853,0.797247822901
GTEX-RVPV-0006-SM-2TF6Q,G18664.GTEX-RVPV-0006-SM-2TF6Q.1,GTEX-RVPV,Whole Blood,86653333.0,0.10386213303532132,0.36928758412558693,1.84522832426
GTEX-R55E-0006-SM-2TC5G,G18680.GTEX-R55E-0006-SM-2TC5G.2,GTEX-R55E,Whole Blood,74266666.0,0.6597845660662888,1.8177738044683465,3.7893626279
GTEX-OIZG-0226-SM-2TC5L,G18685.GTEX-OIZG-0226-SM-2TC5L.2,GTEX-OIZG,Thyroid,87693333.0,0.11403375442463796,0.4789417685834794,2.12612320978
GTEX-R55E-0011-R6A-SM-2TC5T,G18693.GTEX-R55E-0011-R6A-SM-2TC5T.2,GTEX-R55E,Brain - Nucleus accumbens (basal ganglia),91133333.0,0.03291880041301683,2.1506949603170993,0.474446921351
GTEX-R55E-0126-SM-2TC5Y,G18698.GTEX-R55E-0126-SM-2TC5Y.2,GTEX-R55E,Skin - Sun Exposed (Lower leg),100640000.0,0.08942766295707472,0.2484101748807631,2.12066340015
GTEX-QXCU-0326-SM-2TC63,G18702.GTEX-QXCU-0326-SM-2TC63.2,GTEX-QXCU,Thyroid,110226666.0,0.10886657861900677,0.5443328930950339,1.92690485971
GTEX-R55E-0011-R8A-SM-2TC66,G18705.GTEX-R55E-0011-R8A-SM-2TC66.2,GTEX-R55E,Brain - Hypothalamus,106106666.0,0.01884895714280571,0.21676300714226568,0.295439191872
GTEX-R55G-2126-SM-2TC67,G18706.GTEX-R55G-2126-SM-2TC67.2,GTEX-R55G,Nerve - Tibial,106666666.0,0.36562500228515626,1.72500001078125,3.3009605163
GTEX-RN64-0126-SM-2TC68,G18707.GTEX-RN64-0126-SM-2TC68.2,GTEX-RN64,Skin - Sun Exposed (Lower leg),101546666.0,0.1772584045250683,0.9650735357475941,2.02726335474
GTEX-QXCU-0626-SM-2TC69,G18708.GTEX-QXCU-0626-SM-2TC69.2,GTEX-QXCU,Lung,101893333.0,4.377126421019126,18.332897207317775,5.71260734358
GTEX-R55E-0526-SM-2TC6B,G18710.GTEX-R55E-0526-SM-2TC6B.2,GTEX-R55E,Muscle - Skeletal,113640000.0,0.008799718409010912,0.017599436818021823,0.0
GTEX-R55E-2526-SM-2TC6H,G18716.GTEX-R55E-2526-SM-2TC6H.2,GTEX-R55E,Brain - Cerebellum,111026666.0,0.03602738102574385,0.0720547620514877,1.38629436112
GTEX-R55E-0011-R11A-SM-2TC6I,G18717.GTEX-R55E-0011-R11A-SM-2TC6I.2,GTEX-R55E,Brain - Cerebellar Hemisphere,105280000.0,0.028495440729483283,0.056990881458966566,1.09861228867
GTEX-QXCU-1726-SM-2TC6L,G18720.GTEX-QXCU-1726-SM-2TC6L.2,GTEX-QXCU,Muscle - Skeletal,117026666.0,0.025635183010340568,0.06836048802757484,1.08219553004
GTEX-NPJ8-0011-R2a-SM-2TC6M,G18721.GTEX-NPJ8-0011-R2a-SM-2TC6M.2,GTEX-NPJ8,Brain - Substantia nigra,102253333.0,0.01955926463541291,0.2444908079426614,0.366924991273
GTEX-R55G-0006-SM-2TC6O,G18723.GTEX-R55G-0006-SM-2TC6O.2,GTEX-R55G,Whole Blood,104480000.0,0.12442572741194487,0.32542113323124044,2.47624713298
GTEX-RWS6-0226-SM-2XCA9,G19303.GTEX-RWS6-0226-SM-2XCA9.1,GTEX-RWS6,Lung,88680000.0,2.447000451059991,16.271989174560215,4.53021237756
GTEX-S341-2026-SM-2XCAA,G19304.GTEX-S341-2026-SM-2XCAA.1,GTEX-S341,Artery - Tibial,42733333.0,0.1404056173198566,0.8190327676991636,1.39520139866
