sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-QDVJ-0426-SM-2I5FW,G16788.GTEX-QDVJ-0426.3,GTEX-QDVJ,Heart - Left Ventricle,135986666.0,0.05147563511851964,0.5735856484635045,1.38343990187
GTEX-QEG4-0006-SM-2I5FY,G16790.GTEX-QEG4-0006.3,GTEX-QEG4,Whole Blood,138173333.0,0.926372674240984,3.1554569216333515,4.66559552083
GTEX-QEG5-0006-SM-2I5FZ,G16791.GTEX-QEG5-0006.3,GTEX-QEG5,Whole Blood,135413333.0,1.432650653388762,4.135486422153127,5.10406781419
GTEX-QLQ7-0526-SM-2I5G3,G16794.GTEX-QLQ7-0526.3,GTEX-QLQ7,Heart - Left Ventricle,160000000.0,0.025,0.35,0.564715679723
GTEX-OXRN-0011-R10A-SM-2I5GC,G16802.GTEX-OXRN-0011-R10A.3,GTEX-OXRN,Brain - Frontal Cortex (BA9),150093333.0,0.013325042225559745,0.11326285891725783,0.465999256961
GTEX-PWO3-0011-R8A-SM-2I5GD,G16803.GTEX-PWO3-0011-R8A.3,GTEX-PWO3,Brain - Hypothalamus,164186666.0,0.0913594286639574,0.23753451452628924,2.64837801038
GTEX-QEG5-0826-SM-2I5GF,G16805.GTEX-QEG5-0826.3,GTEX-QEG5,Thyroid,161333333.0,0.08677685968342326,0.5082644638600505,1.83709018562
GTEX-QEG5-0426-SM-2I5GJ,G16809.GTEX-QEG5-0426.3,GTEX-QEG5,Muscle - Skeletal,137600000.0,0.05813953488372093,0.29069767441860467,1.3285151912
GTEX-P4QR-0006-SM-2I5GN,G16813.GTEX-P4QR-0006.3,GTEX-P4QR,Whole Blood,120813333.0,2.9963580261460048,13.955413348293272,5.41603339089
GTEX-P4QR-0726-SM-2I5GO,G16814.GTEX-P4QR-0726.3,GTEX-P4QR,Muscle - Skeletal,142840000.0,0.02100252030243629,0.04900588070568468,1.07899220788
GTEX-P4QR-1026-SM-2I5GP,G16815.GTEX-P4QR-1026.3,GTEX-P4QR,Lung,150826666.0,1.6243811952987146,20.361121023519807,4.1139084538
GTEX-OIZF-0006-SM-2I5GQ,G16816.GTEX-OIZF-0006.3,GTEX-OIZF,Whole Blood,150080000.0,1.0061300639658848,4.091151385927505,4.50513583347
