sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-OHPM-1826-SM-2YUNF,G18082.GTEX-OHPM-1826-SM-2YUNF.1,GTEX-OHPM,Artery - Tibial,89120000.0,1.851436265709156,0.02244165170556553,0.591227088147
GTEX-O5YV-1826-SM-2YUNI,G18085.GTEX-O5YV-1826-SM-2YUNI.1,GTEX-O5YV,Nerve - Tibial,100266666.0,1.8051861822153337,0.24933510804079195,2.00233643971
GTEX-O5YV-1626-SM-2YUNJ,G18086.GTEX-O5YV-1626-SM-2YUNJ.1,GTEX-O5YV,Artery - Tibial,95240000.0,2.225955480890382,34.14531709365813,0.535942621939
GTEX-NFK9-0426-SM-2YUNK,G18087.GTEX-NFK9-0426-SM-2YUNK.1,GTEX-NFK9,Nerve - Tibial,91586666.0,1.8234095343092847,0.0545930998296193,0.474139313058
GTEX-NFK9-0526-SM-2YUNL,G18088.GTEX-NFK9-0526-SM-2YUNL.1,GTEX-NFK9,Artery - Tibial,84293333.0,2.2065802048662615,0.8422967448683041,1.51730673999
GTEX-OIZH-1826-SM-2YUNP,G18090.GTEX-OIZH-1826-SM-2YUNP.1,GTEX-OIZH,Artery - Tibial,83960000.0,1.953311100524059,0.07146260123868509,0.0
GTEX-PWO3-0011-R2A-SM-2S1OX,G18363.GTEX-PWO3-0011-R2A-SM-2S1OX.1,GTEX-PWO3,Brain - Substantia nigra,78760000.0,2.526663280853225,0.0,1.58902691517
GTEX-QEG4-0626-SM-2S1OY,G18364.GTEX-QEG4-0626-SM-2S1OY.1,GTEX-QEG4,Muscle - Skeletal,75946666.0,3.5156250308604724,0.026334269894085938,0.0
GTEX-PWOO-2226-SM-2S1P1,G18366.GTEX-PWOO-2226-SM-2S1P1.1,GTEX-PWOO,Adipose - Subcutaneous,82413333.0,3.3853745485575737,0.30334897388508725,1.24501688925
GTEX-QCQG-1826-SM-2S1P2,G18367.GTEX-QCQG-1826-SM-2S1P2.1,GTEX-QCQG,Adipose - Subcutaneous,87493333.0,3.600274320330213,0.8114904023601432,1.83064808115
GTEX-QEG4-1226-SM-2S1P6,G18371.GTEX-QEG4-1226-SM-2S1P6.1,GTEX-QEG4,Artery - Tibial,64053333.0,3.0599500575559433,0.26540383152270935,1.38629436112
GTEX-QEG4-1126-SM-2S1P7,G18372.GTEX-QEG4-1126-SM-2S1P7.1,GTEX-QEG4,Nerve - Tibial,85826666.0,3.1808296037038186,0.5126611815493334,1.76784912046
GTEX-QEG5-0326-SM-2S1PB,G18376.GTEX-QEG5-0326-SM-2S1PB.1,GTEX-QEG5,Adipose - Subcutaneous,67693333.0,2.7624581581763747,0.47272011262911223,0.0
GTEX-PWN1-1826-SM-2S1PE,G18379.GTEX-PWN1-1826-SM-2S1PE.1,GTEX-PWN1,Artery - Tibial,78746666.0,3.3906197374756157,1.2064002811242829,0.598269588585
GTEX-QDVN-2226-SM-2S1PM,G18387.GTEX-QDVN-2226-SM-2S1PM.1,GTEX-QDVN,Nerve - Tibial,99346666.0,3.6236746988570308,0.754932228928548,0.678254350128
GTEX-Q2AH-1926-SM-2S1PN,G18388.GTEX-Q2AH-1926-SM-2S1PN.1,GTEX-Q2AH,Nerve - Tibial,71866666.0,3.882189275344984,0.5148423053324889,1.71173274105
GTEX-PWOO-2326-SM-2S1PQ,G18391.GTEX-PWOO-2326-SM-2S1PQ.1,GTEX-PWOO,Muscle - Skeletal,61533333.0,2.827735659955231,0.09750812620535279,0.0
GTEX-Q2AG-0426-SM-2S1PU,G18395.GTEX-Q2AG-0426-SM-2S1PU.1,GTEX-Q2AG,Muscle - Skeletal,48640000.0,2.528782894736842,0.0,0.0
GTEX-Q2AH-2026-SM-2S1PX,G18398.GTEX-Q2AH-2026-SM-2S1PX.1,GTEX-Q2AH,Artery - Tibial,52600000.0,3.098859315589354,0.17110266159695817,1.20068456234
GTEX-Q2AI-1726-SM-2S1PZ,G18400.GTEX-Q2AI-1726-SM-2S1PZ.1,GTEX-Q2AI,Artery - Tibial,49440000.0,2.164239482200647,0.040453074433656956,0.0
GTEX-Q2AH-1826-SM-2S1Q2,G18402.GTEX-Q2AH-1826-SM-2S1Q2.1,GTEX-Q2AH,Muscle - Skeletal,88293333.0,3.907429794274501,0.6455753573149176,0.69314718056
GTEX-PWOO-0526-SM-2S1Q3,G18403.GTEX-PWOO-0526-SM-2S1Q3.1,GTEX-PWOO,Heart - Left Ventricle,93880000.0,2.8547081380485726,0.06391137622496805,1.59416669912
GTEX-QLQW-1126-SM-2S1Q8,G18407.GTEX-QLQW-1126-SM-2S1Q8.1,GTEX-QLQW,Skin - Sun Exposed (Lower leg),89933333.0,3.169014096252832,0.23350630182915605,1.42630106212
GTEX-QLQW-1226-SM-2S1Q9,G18408.GTEX-QLQW-1226-SM-2S1Q9.1,GTEX-QLQW,Adipose - Subcutaneous,47000000.0,2.6808510638297873,0.7021276595744681,1.02965301406
GTEX-QLQ7-1526-SM-2S1QA,G18409.GTEX-QLQ7-1526-SM-2S1QA.1,GTEX-QLQ7,Adipose - Subcutaneous,61600000.0,2.646103896103896,0.275974025974026,1.88576428077
GTEX-QV31-1626-SM-2S1QC,G18411.GTEX-QV31-1626-SM-2S1QC.1,GTEX-QV31,Artery - Tibial,49493333.0,3.0307112273081307,0.24245689818465044,0.0
GTEX-QV31-1426-SM-2S1QD,G18412.GTEX-QV31-1426-SM-2S1QD.1,GTEX-QV31,Muscle - Skeletal,64480000.0,2.2022332506203472,0.32568238213399503,1.66695474874
GTEX-QV31-1326-SM-2S1QE,G18413.GTEX-QV31-1326-SM-2S1QE.1,GTEX-QV31,Adipose - Subcutaneous,96066666.0,2.446217921209007,0.6870229055310403,2.02972502689
GTEX-QMRM-1726-SM-2S1QG,G18415.GTEX-QMRM-1726-SM-2S1QG.1,GTEX-QMRM,Adipose - Subcutaneous,45600000.0,1.8859649122807018,0.043859649122807015,1.07899220788
GTEX-QVJO-0011-R9A-SM-2S1QH,G18416.GTEX-QVJO-0011-R9A-SM-2S1QH.1,GTEX-QVJO,Brain - Spinal cord (cervical c-1),84720000.0,3.1987724268177526,0.18885741265344666,0.0
GTEX-QVJO-0011-R10A-SM-2S1QJ,G18418.GTEX-QVJO-0011-R10A-SM-2S1QJ.1,GTEX-QVJO,Brain - Frontal Cortex (BA9),72106666.0,2.0802514985230354,0.138683433234869,0.0
GTEX-QVJO-0011-R2A-SM-2S1QK,G18419.GTEX-QVJO-0011-R2A-SM-2S1QK.1,GTEX-QVJO,Brain - Substantia nigra,69226666.0,2.6145994088462965,0.0,0.567060930955
GTEX-QVJO-0011-R4A-SM-2S1QL,G18420.GTEX-QVJO-0011-R4A-SM-2S1QL.1,GTEX-QVJO,Brain - Amygdala,98920000.0,2.4059846340477153,0.22240194096239385,1.38629436112
GTEX-QVJO-0011-R5A-SM-2S1QM,G18421.GTEX-QVJO-0011-R5A-SM-2S1QM.1,GTEX-QVJO,Brain - Caudate (basal ganglia),83573333.0,2.752074037779491,1.1008296151117964,0.0
GTEX-QVJO-0011-R6A-SM-2S1QN,G18422.GTEX-QVJO-0011-R6A-SM-2S1QN.1,GTEX-QVJO,Brain - Nucleus accumbens (basal ganglia),87733333.0,2.5645896753973774,0.35334346638808306,0.0
GTEX-QLQ7-1726-SM-2S1QQ,G18425.GTEX-QLQ7-1726-SM-2S1QQ.1,GTEX-QLQ7,Muscle - Skeletal,74186666.0,2.7498202978955812,0.0,1.02965301406
GTEX-QESD-1526-SM-2S1QT,G18428.GTEX-QESD-1526-SM-2S1QT.1,GTEX-QESD,Adipose - Subcutaneous,73173333.0,1.8859329531975808,0.12299562738245093,0.0
GTEX-QVJO-1325-SM-2S1QX,G18432.GTEX-QVJO-1325-SM-2S1QX.1,GTEX-QVJO,Brain - Cerebellum,72120000.0,2.6760953965612866,0.16638935108153077,1.36892236074
GTEX-QVJO-1426-SM-2S1QY,G18433.GTEX-QVJO-1426-SM-2S1QY.1,GTEX-QVJO,Brain - Cortex,64906666.0,2.1107231112440745,0.2773212846890025,0.0
GTEX-QLQ7-1826-SM-2S1R5,G18439.GTEX-QLQ7-1826-SM-2S1R5.1,GTEX-QLQ7,Nerve - Tibial,77893333.0,2.8885655721010166,0.35946593786145986,1.21819507242
GTEX-QLQ7-1926-SM-2S1R6,G18440.GTEX-QLQ7-1926-SM-2S1R6.1,GTEX-QLQ7,Artery - Tibial,67986666.0,3.4271426105819045,0.10296136598314734,0.214559155176
GTEX-QLQ7-1626-SM-2S1R8,G18442.GTEX-QLQ7-1626-SM-2S1R8.1,GTEX-QLQ7,Skin - Sun Exposed (Lower leg),90426666.0,2.6762017301400896,0.0,0.708688028219
GTEX-QESD-1426-SM-2S1R9,G18443.GTEX-QESD-1426-SM-2S1R9.1,GTEX-QESD,Skin - Sun Exposed (Lower leg),60933333.0,2.5601750687099294,0.04923413593672941,0.0
GTEX-QLQW-0005-SM-2S1RA,G18444.GTEX-QLQW-0005-SM-2S1RA.1,GTEX-QLQW,Whole Blood,82933333.0,3.0988746105260234,1.290192931230679,2.21888423958
GTEX-QESD-1626-SM-2S1RB,G18445.GTEX-QESD-1626-SM-2S1RB.1,GTEX-QESD,Muscle - Skeletal,63626666.0,2.703269097896784,0.031433361603450984,0.0
GTEX-QV44-2026-SM-2S1RD,G18447.GTEX-QV44-2026-SM-2S1RD.1,GTEX-QV44,Muscle - Skeletal,94746666.0,3.0924571002846686,0.2955249106074086,1.03972077084
GTEX-QV44-0526-SM-2S1RE,G18448.GTEX-QV44-0526-SM-2S1RE.1,GTEX-QV44,Heart - Left Ventricle,83413333.0,2.5415601124582805,0.1558503842545172,1.10459512814
GTEX-QV44-1926-SM-2S1RF,G18449.GTEX-QV44-1926-SM-2S1RF.1,GTEX-QV44,Skin - Sun Exposed (Lower leg),67973333.0,2.3979992271380897,0.0,0.0
GTEX-QV44-0826-SM-2S1RG,G18450.GTEX-QV44-0826-SM-2S1RG.1,GTEX-QV44,Thyroid,78213333.0,2.454824422327073,0.20456870186058942,0.0
GTEX-QV44-0926-SM-2S1RH,G18451.GTEX-QV44-0926-SM-2S1RH.1,GTEX-QV44,Lung,45800000.0,1.7685589519650655,16.943231441048034,2.27203685572
GTEX-P4QS-1626-SM-2S1NH,G18455.GTEX-P4QS-1626-SM-2S1NH.1,GTEX-P4QS,Muscle - Skeletal,75306666.0,3.6384561228616867,0.026558073889501363,1.07899220788
GTEX-PW2O-1926-SM-2S1OB,G18484.GTEX-PW2O-1926-SM-2S1OB.1,GTEX-PW2O,Artery - Tibial,93386666.0,5.0114220803214025,0.053540834191467976,0.450561208866
GTEX-POMQ-2026-SM-2S1OD,G18486.GTEX-POMQ-2026-SM-2S1OD.1,GTEX-POMQ,Nerve - Tibial,94066666.0,3.688873165760972,0.7760453634021641,1.9436598647
GTEX-PSDG-0526-SM-2S1OH,G18490.GTEX-PSDG-0526-SM-2S1OH.1,GTEX-PSDG,Artery - Tibial,79946666.0,3.727485021076426,0.025016677993801518,0.0
GTEX-PLZ4-0926-SM-2S1OI,G18491.GTEX-PLZ4-0926-SM-2S1OI.1,GTEX-PLZ4,Muscle - Skeletal,90413333.0,3.262793110392247,0.33180946885344886,1.58902691517
GTEX-REY6-0626-SM-2TF4G,G18584.GTEX-REY6-0626-SM-2TF4G.1,GTEX-REY6,Nerve - Tibial,76546666.0,1.46315974101341,0.8230273543200431,1.68841409102
GTEX-RM2N-1426-SM-2TF4H,G18585.GTEX-RM2N-1426-SM-2TF4H.1,GTEX-RM2N,Skin - Sun Exposed (Lower leg),104133333.0,1.1907810537476986,0.2208706793241699,1.59416669912
GTEX-RNOR-2326-SM-2TF4I,G18586.GTEX-RNOR-2326-SM-2TF4I.1,GTEX-RNOR,Brain - Cortex,83840000.0,1.0615458015267176,0.02385496183206107,0.562335144619
