sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-QDVJ-0426-SM-2I5FW,G16788.GTEX-QDVJ-0426.3,GTEX-QDVJ,Heart - Left Ventricle,135986666.0,0.02206098647936556,0.1544269053555589,0.780130779527
GTEX-QEG4-0006-SM-2I5FY,G16790.GTEX-QEG4-0006.3,GTEX-QEG4,Whole Blood,138173333.0,0.18093216293769218,7.302422096165256,1.46143335161
GTEX-QEG5-0006-SM-2I5FZ,G16791.GTEX-QEG5-0006.3,GTEX-QEG5,Whole Blood,135413333.0,0.14769594364832597,8.507286354143575,1.27597770325
GTEX-QLQ7-0526-SM-2I5G3,G16794.GTEX-QLQ7-0526.3,GTEX-QLQ7,Heart - Left Ventricle,160000000.0,0.01875,0.05,1.03972077084
GTEX-OXRN-0011-R10A-SM-2I5GC,G16802.GTEX-OXRN-0011-R10A.3,GTEX-OXRN,Brain - Frontal Cortex (BA9),150093333.0,0.013325042225559745,0.05996269001501885,0.529706199058
GTEX-PWO3-0011-R8A-SM-2I5GD,G16803.GTEX-PWO3-0011-R8A.3,GTEX-PWO3,Brain - Hypothalamus,164186666.0,0.02436251431038864,0.3532564575006353,0.768003418899
GTEX-QEG5-0826-SM-2I5GF,G16805.GTEX-QEG5-0826.3,GTEX-QEG5,Thyroid,161333333.0,0.012396694240489038,0.05578512408220067,0.529706199058
GTEX-QEG5-0426-SM-2I5GJ,G16809.GTEX-QEG5-0426.3,GTEX-QEG5,Muscle - Skeletal,137600000.0,0.029069767441860465,0.07994186046511628,1.37300391288
GTEX-P4QR-0006-SM-2I5GN,G16813.GTEX-P4QR-0006.3,GTEX-P4QR,Whole Blood,120813333.0,0.231762499259912,30.327778474582768,1.20619141305
GTEX-P4QR-0726-SM-2I5GO,G16814.GTEX-P4QR-0726.3,GTEX-P4QR,Muscle - Skeletal,142840000.0,0.02800336040324839,0.11901428171380565,1.03699386852
